number,actual_name,position_type,death_year,deathdate,death_location,death_age,era_name,birthdate,birth_year
1,Ralph George Waldsmith,OL,1925,6/7/25,"Wilkes-Barre, PA",32,pre-1940,1892-08-07,1892
2,John Waddell Storer Jr.,RB/FB,1927,1/16/27,"Wheeling, WV",26,pre-1940,1900-11-11,1900
3,Louis Childs Usher,OL,1927,1/1/27,"Chicago, IL",29,pre-1940,1897-06-27,1897
4,Milton Timothy O'Connell,TE,1928,5/18/28,"Wilmington, DE",27,pre-1940,1900-11-12,1900
5,John Ambrose Weldon,WR,1928,8/24/28,"Columbus, OH",32,pre-1940,1895-11-07,1895
6,Richard Stewart Cutter King,RB/FB,1930,10/16/30,"Bogota, Colombia",35,pre-1940,1895-02-09,1895
7,Seneca Gadsden Samson,RB/FB,1930,4/2/30,"Wakefield, RI",30,pre-1940,1899-11-10,1899
8,William Carl Kelly,RB/FB,1931,11/14/31,"New York, NY",26,pre-1940,6/24/05,1905
9,John Nesser,OL,1931,7/29/31,"Columbus, OH",55,pre-1940,1876-04-25,1876
10,William Seth Oliver Jr.,OL,1932,5/6/32,"Panola, AL",30,pre-1940,1902-02-16,1902
11,John H. Shultz,WR,1932,11/26/32,"Ashland, PA",25,pre-1940,9/8/07,1907
12,James Alfonso Turner,WR,1932,3/28/32,"Chicago, IL",32,pre-1940,1899-04-18,1899
13,Horace Malvern Randels,TE,1933,1/17/33,"Salt lake County, UT",32,pre-1940,1900-08-05,1900
14,Glessie Mitchell Ladson,OL,1934,4/16/34,"Sullivan, IN",38,pre-1940,1895-12-17,1895
15,Walter Orel May,OL,1934,8/11/34,"Peoria, IL",40,pre-1940,1894-02-27,1894
16,Eugene William Golsen,RB/FB,1935,11/19/35,"Bound Brook, NJ",33,pre-1940,1902-07-06,1902
17,Christ L. Kelsch,RB/FB,1935,7/13/35,"Pittsburgh, PA",38,pre-1940,1897-01-31,1897
18,Elmer Cumming Slough,RB/FB,1935,3/16/35,"Potter County,  TX",31,pre-1940,1903-07-19,1903
19,James Martin Barron,OL,1936,2/6/36,"Boston, MA",45,pre-1940,1890-11-10,1890
20,Frederic Lowell Otte,TE,1936,7/20/36,"Sidney, IA",32,pre-1940,7/20/04,1904
21,Oran Henry Pape,RB/FB,1936,4/29/36,"Muscatine, IA",32,pre-1940,3/10/04,1904
22,Ralph Vernon Scott,OL,1936,8/15/36,"Hardin, MT",41,pre-1940,1894-09-26,1894
23,Walter Daniel Buland,OL,1937,5/25/37,,45,pre-1940,1892-02-07,1892
24,John Edward Singleton,RB/FB,1937,10/23/37,"Dayton, OH",40,pre-1940,1896-11-27,1896
25,Faye Mule Wilson,WR,1937,7/18/37,"Austin, TX",33,pre-1940,1903-08-10,1903
26,Otho Addison Gorman,TE,1938,9/22/38,"Evanston, IL",45,pre-1940,1893-07-23,1893
27,Leonard T. Grant,OL,1938,8/6/38,"Dedham, MA",32,pre-1940,1/17/06,1906
28,Pierre Napoleon Regnier,WR,1938,11/30/38,"Hennepin County, MN",42,pre-1940,1896-09-10,1896
29,James Leo Sanford,OL,1938,4/7/38,"New Brunswick, NJ",39,pre-1940,1898-12-25,1898
30,George Henry Lowe Jr.,TE,1939,2/18/39,"Boston, MA",43,pre-1940,1895-06-21,1895
31,George Henry Bolan,RB/FB,1940,1/17/40,"New York, NY",42,pre-1940,1897-04-30,1897
32,Edgar Vincent Frederick McCrillis,OL,1940,9/1/40,"Warwick, RI",35,pre-1940,9/7/04,1904
33,Joseph Thomas Murphy,OL,1940,5/21/40,"Manchester, NH",43,pre-1940,1897-05-15,1897
34,Joseph Stanley Pliska,RB/FB,1940,8/25/40,"Chicago, IL",49,pre-1940,1890-10-17,1890
35,Nathan Abrams,TE,1941,4/30/41,"Green Bay, WI",43,pre-1940,1897-12-25,1897
36,Henry King Jawish,OL,1941,3/14/41,"Washington, DC",41,pre-1940,1900-02-15,1900
37,James Marcellus Kendrick,RB/FB,1941,11/17/41,"Waco, TX",48,pre-1940,1893-08-22,1893
38,Louis Charles Kolls,OL,1941,2/24/41,"Yorktown Township, IL",48,pre-1940,1892-12-15,1892
39,Wade Edward McRoberts,OL,1941,11/15/41,"Trumbull County, OH",40,pre-1940,1901-01-07,1901
40,Theodore Nesser Jr.,OL,1941,6/7/41,"Columbus, OH",58,pre-1940,1883-04-05,1883
41,Thomas Cornelius Yarr,OL,1941,12/24/41,"Chicago, IL",33,pre-1940,12/4/08,1908
42,Lyle Randolph Bigbee,TE,1942,8/5/42,"Portland, OR",48,pre-1940,1893-08-22,1893
43,Christian Keener Cagle,RB/FB,1942,12/23/42,"New York, NY",37,pre-1940,5/1/05,1905
44,Freeman Charles Fitzgerald,OL,1942,5/6/42,"Milwaukee, WI",50,pre-1940,1891-08-21,1891
45,George F. Lenc,TE,1942,11/16/42,"Pasco, WA",25,pre-1940,3/17/17,1917
46,Charles LeRoy Mackert,OL,1942,2/12/42,"Washington, DC",48,pre-1940,1894-02-02,1894
47,William Glass McCaw,OL,1942,4/19/42,"Bloomington, IN",44,pre-1940,1898-02-06,1898
48,John Grattan O'Connell,TE,1942,3/14/42,"Simsbury, CT",39,pre-1940,1902-10-27,1902
49,Joseph H. Ratica,OL,1942,10/21/42,,28,pre-1940,8/4/14,1914
50,Elliott Clarence Risley,OL,1942,8/23/42,"Dixon, IL",46,pre-1940,1896-01-24,1896
51,Leonard David Sachs,TE,1942,10/27/42,"Chicago, IL",45,pre-1940,1897-08-07,1897
52,John Patrick Underwood,TE,1942,6/21/42,"Duluth, MN",44,pre-1940,1897-08-28,1897
53,Gerrard John Werder,OL,1942,4/11/42,"Los Angeles, CA",47,pre-1940,1894-08-01,1894
54,Edmund Joseph Allen,TE,1943,2/20/43,,41,pre-1940,1901-06-05,1901
55,Harry Hartley Benson,OL,1943,5/17/43,"Attu Island, AK",33,pre-1940,10/7/09,1909
56,Keith G. Birlem,RB/FB,1943,5/7/43,"Polebrook, U.K.",28,pre-1940,5/4/15,1915
57,Maxwell Speers MacCollum,TE,1943,9/25/43,"Indianapolis, IN",43,pre-1940,1900-02-22,1900
58,Milton Richard Simington,OL,1943,1/17/43,"Shreveport, LA",24,pre-1940,8/26/18,1918
59,Leonard Peter Supulski,TE,1943,8/31/43,"near Kearney, NE",22,1941 to 1959,12/15/20,1920
60,Donald Lester Wemple,TE,1943,6/23/43,India,25,pre-1940,10/14/17,1917
61,Michael Martin Basca,RB/FB,1944,11/11/44,France,27,pre-1940,12/4/16,1916
62,John Hutton Hasbrouck,RB/FB,1944,10/19/44,"Port Ewen , NY",49,pre-1940,1895-01-20,1895
63,J.W. Hinton,RB/FB,1944,12/10/44,"Halmahera Island, Indonesia",37,pre-1940,6/30/07,1907
64,John J. Hurley,TE,1944,1/2/44,Italy,36,pre-1940,1/9/07,1907
65,Alexander Gregorieff Ketzko,OL,1944,12/23/44,"France,  ",25,pre-1940,11/19/19,1919
66,James L. Mooney Jr.,TE,1944,8/12/44,,36,pre-1940,9/16/07,1907
67,Thomas Edward Myers,RB/FB,1944,7/1/44,"New York, NY",43,pre-1940,1901-02-09,1901
68,Dewey D. Scanlon,WR,1944,9/24/44,"St. Louis County, MN",45,pre-1940,1899-08-16,1899
69,Kenneth Edward Snelling,RB/FB,1944,9/17/44,"Ruch, OR",25,pre-1940,12/11/18,1918
70,Gustave Adolph Sonnenberg,OL,1944,9/13/44,"Bethesda, MD",46,pre-1940,1898-03-06,1898
71,Chester Jerome Wetterlund,RB/FB,1944,9/5/44,"offshore, NJ",26,pre-1940,3/19/18,1918
72,John Henry Yurchey,RB/FB,1944,6/1/44,"Bridgeville, PA",26,pre-1940,11/12/17,1917
73,Charles Edward Behan,TE,1945,5/18/45,"Okinawa, Japan",24,1941 to 1959,8/4/20,1920
74,Alfred Charles Blozis,OL,1945,1/31/45,"Colmar , France",26,pre-1940,1/5/19,1919
75,Charles G. Braidwood,TE,1945,1/8/45,,41,pre-1940,1903-10-15,1903
76,Theodore Henry Bucklin,RB/FB,1945,10/20/45,"Idaho Falls, ID",42,pre-1940,1903-05-09,1903
77,Lloyd Sumner Burdick,OL,1945,8/9/45,"Michigan , ND",37,pre-1940,8/8/08,1908
78,Arthur Millert Gaustad,OL,1945,3/23/45,"Hennepin County, MN",55,pre-1940,1889-06-06,1889
79,James H. German,RB/FB,1945,8/8/45,,27,pre-1940,11/6/17,1917
80,Franklin Thomas Grube,TE,1945,7/2/45,"New York, NY",40,pre-1940,1/7/05,1905
81,Howard White Johnson,OL,1945,2/26/45,,28,pre-1940,9/22/16,1916
82,Edwin Bernard Kahn,OL,1945,2/17/45,"Leyte, Phillipines",33,pre-1940,11/9/11,1911
83,Andrew Jackson Lummus Jr.,TE,1945,3/8/45,"Iwo Jima, Japan",27,pre-1940,10/22/17,1917
84,Glen Edward Magnusson,OL,1945,1/7/45,"Chicago, IL",45,pre-1940,1899-07-30,1899
85,Madison B. Pearson,OL,1945,5/1/45,"Malheur County, OR",40,pre-1940,3/22/05,1905
86,James Madison Roberts,OL,1945,6/27/45,"Middlesboro, KY",44,pre-1940,1900-08-23,1900
87,George Donald Seasholtz,RB/FB,1945,4/11/45,"Pottstown , PA",44,pre-1940,1900-11-14,1900
88,Lingel A. Winters,RB/FB,1945,10/5/45,"Ashland, KY",45,pre-1940,1900-06-02,1900
89,Walter Roland Young,TE,1945,1/9/45,"Tokyo, Japan",28,pre-1940,9/4/16,1916
90,Ruey Young Bussey,QB,1946,1/12/46,"Lingayen Gulf, Phillipines",28,pre-1940,10/4/17,1917
91,Arthur Read Haley,RB/FB,1946,2/14/46,"Zanesville, OH",50,pre-1940,1895-10-07,1895
92,Frank Matthew Hanny,TE,1946,9/3/46,"Aurora, IL",48,pre-1940,1897-12-10,1897
93,John Randolph Hudson,RB/FB,1946,10/1/46,"Kanapolis, NC",47,pre-1940,1898-10-07,1898
94,Donald Fletcher Jackson,RB/FB,1946,8/25/46,"Dallas, TX",32,pre-1940,11/14/13,1913
95,Homer Carroll Ledbetter,RB/FB,1946,10/22/46,"near Raton, NM",36,pre-1940,1/25/10,1910
96,John W. Becker,OL,1947,9/17/47,  ,44,pre-1940,1903-02-10,1903
97,George Vincent Brickley,RB/FB,1947,2/23/47,"Everett, MA",52,pre-1940,1894-07-19,1894
98,Jefferson Davis Burkett,TE,1947,10/24/47,"Bryce Canyon, UT",26,1941 to 1959,7/15/21,1921
99,Leonard Louis Charpier,RB/FB,1947,10/3/47,"Chicago, IL",50,pre-1940,1897-02-17,1897
